representation,split_file,scheme,holdout_group,budget,seed,n_train_used,C_selected,inner_cv_folds_used,cv_selection_cells,n_dims_selected,seconds,pooled_macro_f1,pooled_macro_f1_all_test_classes,dataset,n_test,n_classes_learnable,n_classes_test_only,macro_f1,macro_f1_all_test_classes,accuracy
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,CHOL_GSE125449_aPD1aPDL1aCTLA4,887,8,0,0.803318406776018,0.803318406776018,0.7091319052987599
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,CRC_GSE108989,2184,3,0,0.7102540094979991,0.7102540094979991,0.8044871794871795
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,CRC_GSE146771_10X,6000,7,0,0.8364728549887896,0.8364728549887896,0.8418333333333333
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,HNSC_GSE103322,1176,8,0,0.6947849353829358,0.6947849353829358,0.7865646258503401
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,LIHC_GSE140228_10X,5999,9,0,0.8221273267015713,0.8221273267015713,0.8403067177862977
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,LIHC_GSE98638,960,3,0,0.7861767011468094,0.7861767011468094,0.7833333333333333
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,NSCLC_GSE127465,6000,12,0,0.7612951905684334,0.7612951905684334,0.7651666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,NSCLC_GSE131907,6007,10,0,0.7267826153937721,0.7267826153937721,0.696354253371067
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,PAAD_GSE111672,453,7,0,0.6957990134535301,0.6957990134535301,0.869757174392936
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,PAAD_GSE154778,2989,6,0,0.576886586919208,0.576886586919208,0.8581465373034459
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,STAD_GSE134520,1308,6,0,0.5963572917511691,0.5963572917511691,0.5879204892966361
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,3,140,0.01,5,140,768,3.77,0.7063429449399169,0.7063429449399169,BRCA_GSE161529,6000,10,0,0.6950409576020391,0.6950409576020391,0.698
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,3,140,0.01,5,140,768,3.77,0.7063429449399169,0.7063429449399169,BRCA_GSE176078,6000,9,0,0.654639350775574,0.654639350775574,0.6296666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,3,140,0.01,5,140,768,3.77,0.7063429449399169,0.7063429449399169,CHOL_GSE125449_aPD1aPDL1aCTLA4,887,8,0,0.6455205424389265,0.6455205424389265,0.4915445321307779
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,3,140,0.01,5,140,768,3.77,0.7063429449399169,0.7063429449399169,CRC_GSE108989,2184,3,0,0.449850794933407,0.449850794933407,0.5160256410256411
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,3,140,0.01,5,140,768,3.77,0.7063429449399169,0.7063429449399169,CRC_GSE146771_10X,6000,7,0,0.6346615284058975,0.6346615284058975,0.6286666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,3,140,0.01,5,140,768,3.77,0.7063429449399169,0.7063429449399169,HNSC_GSE103322,1176,8,0,0.5953111655995207,0.5953111655995207,0.3852040816326531
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,3,140,0.01,5,140,768,3.77,0.7063429449399169,0.7063429449399169,LIHC_GSE140228_10X,5999,9,0,0.6868503661183765,0.6868503661183765,0.6836139356559426
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,3,140,0.01,5,140,768,3.77,0.7063429449399169,0.7063429449399169,LIHC_GSE98638,960,3,0,0.4382828586482546,0.4382828586482546,0.48125
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,3,140,0.01,5,140,768,3.77,0.7063429449399169,0.7063429449399169,NSCLC_GSE127465,6000,12,0,0.8181708425778892,0.8181708425778892,0.8218333333333333
