scheme,budget,contrast,delta_mean_n13,ci95_lo_n13,ci95_hi_n13,p_fdr_n13,cohens_dz_n13,n_datasets_n13,n_datasets_favouring_a_n13,delta_mean_n12,ci95_lo_n12,ci95_hi_n12,p_fdr_n12,cohens_dz_n12,n_datasets_n12,n_datasets_favouring_a_n12,delta_shift,sign_flip,sig_change
S2_leave_donor_out,100,geneformer - scvi,0.012633927238121827,-0.0007455961289413107,0.026526379260241956,0.2551663306451613,0.48133657646702804,13,8,0.013862774143745177,-0.001113589502211898,0.028194643047349602,0.22181919642857142,0.5130311225726543,12,8,0.0012288469056233493,False,False
S2_leave_donor_out,100,geneformer - harmony,0.059988956599456564,0.04041994597380625,0.08076243133657264,0.002197265625,1.5537292124529039,13,12,0.06209255131130162,0.040960879120331396,0.08329429141287233,0.00439453125,1.5703445265511735,12,11,0.0021035947118450554,False,False
S2_leave_donor_out,100,scgpt - hvg_pca,-0.02011573812292948,-0.044245324785067736,0.0025308271491527325,0.3594050480769231,-0.4518263015746008,13,6,-0.022262756203296458,-0.04742578088105744,0.001915219528710468,0.2884410511363636,-0.48616820829120055,12,5,-0.0021470180803669775,False,False
S2_leave_donor_out,100,scgpt - scvi,-0.006211738394464274,-0.022227851706768678,0.008231920929558621,0.8671576052295918,-0.2136659156350035,13,7,-0.007708699080783431,-0.024457213222656624,0.007534475812863565,0.7540471971649485,-0.25836009100651713,12,6,-0.0014969606863191563,False,False
S2_leave_donor_out,100,scgpt - harmony,0.04114329096687046,0.0184968054601481,0.06475170234598793,0.017346833881578948,0.9349751133448503,13,11,0.04052107808677301,0.016802888244256024,0.06604448849859378,0.033804086538461536,0.8827807571535041,12,10,-0.0006222128800974502,False,False
S2_leave_donor_out,all,geneformer - hvg_pca,0.04171201639618939,0.026591072964257605,0.05641846693313668,0.002197265625,1.4715583643950723,13,12,0.04390773858715421,0.02827121117150382,0.05887261355637583,0.00439453125,1.5445400177743338,12,11,0.0021957221909648175,False,False
S2_leave_donor_out,all,geneformer - scvi,0.08234850632216797,0.056283555612761715,0.1123252425069301,0.0017578124999999998,1.535568546315365,13,13,0.08792818675194486,0.06196418255241722,0.11690852058443367,0.0035156249999999997,1.6934901711192825,12,12,0.005579680429776884,False,False
S2_leave_donor_out,all,geneformer - harmony,0.11830696588943732,0.08797722426199525,0.1527183707380041,0.0017578124999999998,1.9020903415929629,13,13,0.12433989641241083,0.09302569482983919,0.15878938976045784,0.0035156249999999997,2.0429844155674943,12,12,0.0060329305229735175,False,False
S2_leave_donor_out,all,scgpt - hvg_pca,0.027657061252381158,0.00599255577460746,0.04653036346518269,0.12906044407894737,0.7014923501675204,13,10,0.025264136129344323,0.0019065065287918316,0.045532628468029586,0.20110566737288135,0.6287576458067207,12,9,-0.002392925123036835,False,False
S2_leave_donor_out,all,scgpt - scvi,0.06829355117835975,0.04650064511440732,0.08961251531416563,0.002197265625,1.6539603698602938,13,12,0.06928458429413498,0.045222237710477654,0.09255436412342201,0.00439453125,1.612575375322995,12,11,0.000991033115775225,False,False
S2_leave_donor_out,all,scgpt - harmony,0.10425201074562909,0.07761721956859412,0.13461832070991175,0.0017578124999999998,1.9009663883646206,13,13,0.10569629395460096,0.07669322571504156,0.1388387483113894,0.0035156249999999997,1.8536264608354842,12,12,0.0014442832089718721,False,False
S3_leave_dataset_out,5,geneformer - hvg_pca,-0.052878765844274464,-0.10356922324423012,-0.006759503767367242,0.2551663306451613,-0.5691430042109691,13,5,-0.057159735706215554,-0.11026328857980991,-0.007483949262240634,0.22181919642857142,-0.5973289049471502,12,5,-0.0042809698619410905,False,False
S3_leave_dataset_out,5,geneformer - scvi,-0.060656482592815406,-0.10742995435461768,-0.02037424495922621,0.04735331632653061,-0.7382182013141251,13,4,-0.06406712719194343,-0.11241992193430415,-0.020714917851583817,0.073828125,-0.7550360862937141,12,4,-0.0034106445991280293,False,True
