representation,scheme,budget,nominal,variant,score,coverage,coverage_gap,mean_set_size,empty_rate,singleton_rate,n_datasets
harmony,S1_within_dataset,all,0.9,marginal,inverse_softmax,0.9045305653911284,-0.004530565391128354,1.4522492589221612,6.128964369315348e-05,0.5817734884254343,13
harmony,S1_within_dataset,all,0.9,mondrian,aps,0.9056380939495893,-0.005638093949589196,4.082911405604376,0.027442586144489134,0.13591847858256176,13
harmony,S1_within_dataset,all,0.9,mondrian,inverse_softmax,0.8978274923547749,0.0021725076452252354,1.6025754954112306,0.0030436676640904774,0.47176391223189545,13
harmony,S1_within_dataset,all,0.95,marginal,aps,0.950205872498275,-0.000205872498275041,6.083579602580187,0.04123217651477007,0.058348553600291723,13
harmony,S1_within_dataset,all,0.95,marginal,inverse_softmax,0.9508567165864863,-0.0008567165864864885,1.9047374456685304,0.0,0.31915668202667935,13
harmony,S1_within_dataset,all,0.95,mondrian,aps,0.9505331912964503,-0.0005331912964504787,4.906678514816397,0.011989067179845879,0.10418413150371206,13
harmony,S1_within_dataset,all,0.95,mondrian,inverse_softmax,0.948990942374287,0.001009057625712878,2.2033341568233458,0.0,0.2753642488651102,13
harmony,S2_leave_donor_out,10,0.8,marginal,aps,0.7979489279860937,0.0020510720139063415,3.155585106598907,0.04102163878185451,0.06881363654932814,13
harmony,S2_leave_donor_out,10,0.8,marginal,inverse_softmax,0.7920305163020669,0.007969483697933186,2.192210700299057,0.0038286132630598966,0.2808878805055019,13
harmony,S2_leave_donor_out,10,0.8,mondrian,aps,0.7973935957657676,0.002606404234232441,3.2552015034797583,0.03342814759858584,0.10426467855317018,13
harmony,S2_leave_donor_out,10,0.8,mondrian,inverse_softmax,0.7823523412227354,0.01764765877726458,2.0626684388763894,0.011480478972346967,0.27976808541219483,13
harmony,S2_leave_donor_out,10,0.9,marginal,aps,0.8957473470700599,0.004252652929940115,5.270744981815377,0.01228237275811122,0.01296160247316283,13
harmony,S2_leave_donor_out,10,0.9,marginal,inverse_softmax,0.893884225810081,0.006115774189919098,4.281817412716737,3.5823996704192305e-07,0.06692189407450831,13
harmony,S2_leave_donor_out,10,0.9,mondrian,aps,0.8955724548751772,0.004427545124822814,4.955560551200275,0.007132130694926335,0.017988807138295045,13
harmony,S2_leave_donor_out,10,0.9,mondrian,inverse_softmax,0.8878478002771959,0.012152199722804112,3.666563848773018,4.297156345200335e-05,0.06045752469915967,13
harmony,S2_leave_donor_out,10,0.95,marginal,aps,0.94759479374044,0.0024052062595599963,7.855595723300713,0.0030437248686861922,0.0033063860147631665,13
harmony,S2_leave_donor_out,10,0.95,marginal,inverse_softmax,0.9463385211291366,0.0036614788708633048,7.110874183919335,0.0,0.01814485831138881,13
harmony,S2_leave_donor_out,10,0.95,mondrian,aps,0.9475424998845093,0.002457500115490644,6.976044943745517,0.0014001607535122937,0.00366228847759829,13
harmony,S2_leave_donor_out,10,0.95,mondrian,inverse_softmax,0.9425916273476538,0.007408372652346228,5.8938435322718625,0.0,0.016039125545156813,13
harmony,S2_leave_donor_out,100,0.8,marginal,aps,0.785902863257168,0.014097136742832084,3.210367860738068,0.143764704912624,0.11727170971984019,13
harmony,S2_leave_donor_out,100,0.8,marginal,inverse_softmax,0.7695447688447766,0.030455231155223448,1.2599525843763932,0.03734124387148498,0.6677559188388346,13
harmony,S2_leave_donor_out,100,0.8,mondrian,aps,0.7960640955165877,0.0039359044834123315,3.672854381987335,0.06079620469610851,0.15425901763931124,13
harmony,S2_leave_donor_out,100,0.8,mondrian,inverse_softmax,0.7687652043509401,0.03123479564905997,1.3433441091564133,0.05550378248076985,0.5711982771084546,13
harmony,S2_leave_donor_out,100,0.9,marginal,aps,0.8903829051044384,0.009617094895561652,4.854383263193124,0.07448322530261163,0.05542505150492912,13
harmony,S2_leave_donor_out,100,0.9,marginal,inverse_softmax,0.8841263544738608,0.015873645526139294,1.7388803545899556,0.0007598111609889764,0.3885719471953228,13
harmony,S2_leave_donor_out,100,0.9,mondrian,aps,0.8970748183855856,0.0029251816144144904,4.964444849960714,0.024878058444013876,0.08605889359610021,13
harmony,S2_leave_donor_out,100,0.9,mondrian,inverse_softmax,0.8796881126124898,0.020311887387510212,2.1363519853278317,0.0029894309943648374,0.3025715259684674,13
harmony,S2_leave_donor_out,100,0.95,marginal,aps,0.9460280270828924,0.003971972917107628,6.413594387716675,0.03312806679150292,0.02463660092169808,13
harmony,S2_leave_donor_out,100,0.95,marginal,inverse_softmax,0.9420703433482649,0.00792965665173505,2.7708024362331947,3.5823996704192305e-07,0.21958401719042367,13
harmony,S2_leave_donor_out,100,0.95,mondrian,aps,0.9466136305671669,0.003386369432833131,6.24569164347405,0.009533268086877243,0.041539933012405134,13
harmony,S2_leave_donor_out,100,0.95,mondrian,inverse_softmax,0.9382932936698538,0.011706706330146211,3.364294992296316,6.430421380500844e-06,0.14785023652363846,13
